realtime_start,date,value,realtime_end
2018-11-07,1992-01-01,7421,2018-11-07
2018-11-07,1992-02-01,7425,2018-11-07
2018-11-07,1992-03-01,7443,2018-11-07
2018-11-07,1992-04-01,7516,2018-11-07
2018-11-07,1992-05-01,7458,2018-11-07
2018-11-07,1992-06-01,7417,2018-11-07
2018-11-07,1992-07-01,7292,2018-11-07
2018-11-07,1992-08-01,7508,2018-11-07
2018-11-07,1992-09-01,7420,2018-11-07
2018-11-07,1992-10-01,7535,2018-11-07
2018-11-07,1992-11-01,7497,2018-11-07
2018-11-07,1992-12-01,7526,2018-11-07
2018-11-07,1993-01-01,7518,2018-11-07
2018-11-07,1993-02-01,7651,2018-11-07
2018-11-07,1993-03-01,7605,2018-11-07
2018-11-07,1993-04-01,7683,2018-11-07
2018-11-07,1993-05-01,7666,2018-11-07
2018-11-07,1993-06-01,7680,2018-11-07
2018-11-07,1993-07-01,7756,2018-11-07
2018-11-07,1993-08-01,7678,2018-11-07
2018-11-07,1993-09-01,7772,2018-11-07
2018-11-07,1993-10-01,7758,2018-11-07
2018-11-07,1993-11-01,7784,2018-11-07
2018-11-07,1993-12-01,7989,2018-11-07
2018-11-07,1994-01-01,7865,2018-11-07
2018-11-07,1994-02-01,7729,2018-11-07
2018-11-07,1994-03-01,7911,2018-11-07
2018-11-07,1994-04-01,7838,2018-11-07
2018-11-07,1994-05-01,7955,2018-11-07
2018-11-07,1994-06-01,8014,2018-11-07
2018-11-07,1994-07-01,8084,2018-11-07
2018-11-07,1994-08-01,8126,2018-11-07
2018-11-07,1994-09-01,8190,2018-11-07
2018-11-07,1994-10-01,8214,2018-11-07
2018-11-07,1994-11-01,8190,2018-11-07
2018-11-07,1994-12-01,8287,2018-11-07
2018-11-07,1995-01-01,8306,2018-11-07
2018-11-07,1995-02-01,8304,2018-11-07
2018-11-07,1995-03-01,8304,2018-11-07
2018-11-07,1995-04-01,8450,2018-11-07
2018-11-07,1995-05-01,8424,2018-11-07
2018-11-07,1995-06-01,8482,2018-11-07
2018-11-07,1995-07-01,8431,2018-11-07
2018-11-07,1995-08-01,8488,2018-11-07
2018-11-07,1995-09-01,8611,2018-11-07
2018-11-07,1995-10-01,8584,2018-11-07
2018-11-07,1995-11-01,8691,2018-11-07
2018-11-07,1995-12-01,8761,2018-11-07
2018-11-07,1996-01-01,8546,2018-11-07
2018-11-07,1996-02-01,8782,2018-11-07
2018-11-07,1996-03-01,8991,2018-11-07
2018-11-07,1996-04-01,8922,2018-11-07
2018-11-07,1996-05-01,9076,2018-11-07
2018-11-07,1996-06-01,9072,2018-11-07
2018-11-07,1996-07-01,9134,2018-11-07
2018-11-07,1996-08-01,9237,2018-11-07
2018-11-07,1996-09-01,9190,2018-11-07
2018-11-07,1996-10-01,9363,2018-11-07
2018-11-07,1996-11-01,9414,2018-11-07
2018-11-07,1996-12-01,9505,2018-11-07
2018-11-07,1997-01-01,9448,2018-11-07
2018-11-07,1997-02-01,9649,2018-11-07
2018-11-07,1997-03-01,9922,2018-11-07
2018-11-07,1997-04-01,9578,2018-11-07
2018-11-07,1997-05-01,9722,2018-11-07
2018-11-07,1997-06-01,9916,2018-11-07
2018-11-07,1997-07-01,9950,2018-11-07
2018-11-07,1997-08-01,9989,2018-11-07
2018-11-07,1997-09-01,10077,2018-11-07
2018-11-07,1997-10-01,10058,2018-11-07
2018-11-07,1997-11-01,10217,2018-11-07
2018-11-07,1997-12-01,10201,2018-11-07
2018-11-07,1998-01-01,10382,2018-11-07
2018-11-07,1998-02-01,10406,2018-11-07
2018-11-07,1998-03-01,10393,2018-11-07
2018-11-07,1998-04-01,10620,2018-11-07
2018-11-07,1998-05-01,10645,2018-11-07
2018-11-07,1998-06-01,10672,2018-11-07
2018-11-07,1998-07-01,10828,2018-11-07
2018-11-07,1998-08-01,11019,2018-11-07
2018-11-07,1998-09-01,10985,2018-11-07
2018-11-07,1998-10-01,11106,2018-11-07
2018-11-07,1998-11-01,11232,2018-11-07
2018-11-07,1998-12-01,11311,2018-11-07
2018-11-07,1999-01-01,11415,2018-11-07
2018-11-07,1999-02-01,11498,2018-11-07
2018-11-07,1999-03-01,11595,2018-11-07
2018-11-07,1999-04-01,11619,2018-11-07
2018-11-07,1999-05-01,11741,2018-11-07
2018-11-07,1999-06-01,11837,2018-11-07
2018-11-07,1999-07-01,11857,2018-11-07
2018-11-07,1999-08-01,11848,2018-11-07
2018-11-07,1999-09-01,11993,2018-11-07
2018-11-07,1999-10-01,12155,2018-11-07
2018-11-07,1999-11-01,12258,2018-11-07
2018-11-07,1999-12-01,12801,2018-11-07
2018-11-07,2000-01-01,12381,2018-11-07
2018-11-07,2000-02-01,12386,2018-11-07
2018-11-07,2000-03-01,12580,2018-11-07
2018-11-07,2000-04-01,12733,2018-11-07
2018-11-07,2000-05-01,12814,2018-11-07
2018-11-07,2000-06-01,12864,2018-11-07
2018-11-07,2000-07-01,12967,2018-11-07
2018-11-07,2000-08-01,13034,2018-11-07
2018-11-07,2000-09-01,13233,2018-11-07
2018-11-07,2000-10-01,13302,2018-11-07
2018-11-07,2000-11-01,13340,2018-11-07
2018-11-07,2000-12-01,13527,2018-11-07
2018-11-07,2001-01-01,13413,2018-11-07
2018-11-07,2001-02-01,13582,2018-11-07
2018-11-07,2001-03-01,13650,2018-11-07
2018-11-07,2001-04-01,13643,2018-11-07
2018-11-07,2001-05-01,13812,2018-11-07
2018-11-07,2001-06-01,13843,2018-11-07
2018-11-07,2001-07-01,13879,2018-11-07
2018-11-07,2001-08-01,14004,2018-11-07
2018-11-07,2001-09-01,13894,2018-11-07
2018-11-07,2001-10-01,14298,2018-11-07
2018-11-07,2001-11-01,14280,2018-11-07
2018-11-07,2001-12-01,14350,2018-11-07
2018-11-07,2002-01-01,14525,2018-11-07
2018-11-07,2002-02-01,14747,2018-11-07
2018-11-07,2002-03-01,14745,2018-11-07
2018-11-07,2002-04-01,14940,2018-11-07
2018-11-07,2002-05-01,14903,2018-11-07
2018-11-07,2002-06-01,14947,2018-11-07
2018-11-07,2002-07-01,15004,2018-11-07
2018-11-07,2002-08-01,15120,2018-11-07
2018-11-07,2002-09-01,15288,2018-11-07
2018-11-07,2002-10-01,15298,2018-11-07
2018-11-07,2002-11-01,15348,2018-11-07
2018-11-07,2002-12-01,15293,2018-11-07
2018-11-07,2003-01-01,15441,2018-11-07
2018-11-07,2003-02-01,15534,2018-11-07
2018-11-07,2003-03-01,15677,2018-11-07
2018-11-07,2003-04-01,15705,2018-11-07
2018-11-07,2003-05-01,15791,2018-11-07
2018-11-07,2003-06-01,15934,2018-11-07
2018-11-07,2003-07-01,16182,2018-11-07
2018-11-07,2003-08-01,16345,2018-11-07
2018-11-07,2003-09-01,16339,2018-11-07
2018-11-07,2003-10-01,16434,2018-11-07
2018-11-07,2003-11-01,16500,2018-11-07
2018-11-07,2003-12-01,16648,2018-11-07
2018-11-07,2004-01-01,16287,2018-11-07
2018-11-07,2004-02-01,16133,2018-11-07
2018-11-07,2004-03-01,16526,2018-11-07
2018-11-07,2004-04-01,16476,2018-11-07
2018-11-07,2004-05-01,16462,2018-11-07
2018-11-07,2004-06-01,16570,2018-11-07
2018-11-07,2004-07-01,16554,2018-11-07
2018-11-07,2004-08-01,16610,2018-11-07
2018-11-07,2004-09-01,16635,2018-11-07
2018-11-07,2004-10-01,16739,2018-11-07
2018-11-07,2004-11-01,16813,2018-11-07
2018-11-07,2004-12-01,16882,2018-11-07
2018-11-07,2005-01-01,17116,2018-11-07
2018-11-07,2005-02-01,17292,2018-11-07
2018-11-07,2005-03-01,17245,2018-11-07
2018-11-07,2005-04-01,17350,2018-11-07
2018-11-07,2005-05-01,17413,2018-11-07
2018-11-07,2005-06-01,17392,2018-11-07
2018-11-07,2005-07-01,17635,2018-11-07
